,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
0,"Dr Lex Fridman: Navigating Conflict, Finding Purpose & Maintaining Drive | Huberman Lab Podcast #100",2022-11-28,384953,13496,PT2H41M46S,1769,9706.0,Nov
1,Dr. Chris Palmer: Diet & Nutrition for Mental Health | Huberman Lab Podcast #99,2022-11-21,437851,11221,PT3H3M42S,1292,11022.0,Nov
2,Science-Based Tools for Increasing Happiness | Huberman Lab Podcast #98,2022-11-14,384199,9444,PT2H23M44S,848,8624.0,Nov
3,"LIVE EVENT Q&A: Dr. Andrew Huberman Question & Answer in Los Angeles, CA",2022-11-09,85786,2466,PT1H3M38S,176,3818.0,Nov
4,"Dr Layne Norton: The Science of Eating for Health, Fat Loss & Lean Muscle | Huberman Lab Podcast #97",2022-11-07,946916,17011,PT3H49M35S,1462,13775.0,Nov
5,"AMA #1: Leveraging Ultradian Cycles, How to Protect Your Brain, Seed Oils Examined and More",2022-11-02,133556,3899,PT24M57S,249,1497.0,Nov
6,How Meditation Works & Science-Based Effective Meditations | Huberman Lab Podcast #96,2022-10-31,752327,20535,PT2H26M2S,1752,8762.0,Oct
7,Dr. Eddie Chang: The Science of Learning & Speaking Languages | Huberman Lab Podcast #95,2022-10-24,198156,5423,PT2H34M24S,453,9264.0,Oct
8,Fitness Toolkit: Protocol & Tools to Optimize Physical Health | Huberman Lab Podcast #94,2022-10-17,675777,15514,PT1H57M50S,1474,7070.0,Oct
9,Dr. Nolan Williams: Psychedelics & Neurostimulation for Brain Rewiring | Huberman Lab Podcast #93,2022-10-10,217829,5694,PT2H48M55S,1213,10135.0,Oct
10,The Effects of Cannabis (Marijuana) on the Brain & Body | Huberman Lab Podcast #92,2022-10-03,939101,27755,PT2H47M38S,4740,10058.0,Oct
11,Dr. Casey Halpern: Biology & Treatments for Compulsive Eating & Behaviors | Huberman Lab Podcast #91,2022-09-26,167070,4307,PT2H14M35S,406,8075.0,Sep
12,Nicotine’s Effects on the Brain & Body & How to Quit Smoking or Vaping | Huberman Lab Podcast #90,2022-09-19,357845,10343,PT1H53M37S,1534,6817.0,Sep
13,"Dr. David Anderson: The Biology of Aggression, Mating, & Arousal | Huberman Lab Podcast #89",2022-09-12,152048,3902,PT1H55M35S,463,6935.0,Sep
