,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
0,Praveen Mohan - Indian History Retold & Rethought | The Ranveer Show 259,2022-12-02,317092,18938,PT1H29M46S,3380,5386.0,Dec
1,"Siachen, Africa & Combat Stories - Maj. Samar Toor On The Indian Infantry | The Ranveer Show 258",2022-11-29,202677,8799,PT52M43S,727,3163.0,Nov
2,Tantra & The Occult - Powerful TRUTHS Explained By A Tantric - Rajarshi Nandy | The Ranveer Show 257,2022-11-25,790332,26505,PT1H42M18S,2854,6138.0,Nov
3,Priyanka Chopra Returns For Another Blockbuster Chat | The Ranveer Show 256,2022-11-22,865974,35331,PT50M57S,1708,3057.0,Nov
4,"Yoga For Better Skin, Hair & Life Explained By An Expert - Ami Ganatra | The Ranveer Show 255",2022-11-18,186739,7051,PT1H5M28S,602,3928.0,Nov
5,"Abhijit Chavda - Hidden History, Dinosaurs & Apocalyptic Events | The Ranveer Show 254",2022-11-15,284101,11810,PT58M10S,872,3490.0,Nov
6,"Indian Archaeologist Shares Secrets & CRAZY Stories Of Human History | Anica Mann, TheRanveerShow253",2022-11-11,1012638,34415,PT1H18M56S,3464,4736.0,Nov
7,Mysteries Of The Universe - Broken Down By Science | Abhijit Chavda | The Ranveer Show 252,2022-11-08,370890,15813,PT1H7M56S,1395,4076.0,Nov
8,My Best Video Yet.,2022-11-04,342666,22746,PT19M39S,1460,1179.0,Nov
9,Maratha Empire's Beginnings - Shivaji Maharaj & Aurangzeb - Medha Bhaskaran | The Ranveer Show 251,2022-11-01,326807,14786,PT50M9S,1964,3009.0,Nov
10,Martial Arts For The Mind - Mentality for Success with Cawas Billimoria | The Ranveer Show 250,2022-10-31,83452,3376,PT39M6S,218,2346.0,Oct
11,FREE OF COST Weight Loss Guide | Kris Gethin | The Ranveer Show 249,2022-10-28,370734,11380,PT1H37M48S,583,5868.0,Oct
12,Rise Of India's Greatest Emperor - Chattrapati Shivaji Maharaj - Medha B. | The Ranveer Show 248,2022-10-25,483527,19774,PT1H21M1S,2323,4861.0,Oct
13,Amish Tripathi - Secrets Of Hinduism That Only Few Know | Diwali Special | The Ranveer Show 247,2022-10-21,300314,11333,PT1H12M9S,637,4329.0,Oct
14,Aurangzeb & Times Before Shivaji Maharaj | Indian History | Medha Bhaskaran | The Ranveer Show 246,2022-10-18,800234,32354,PT1H23M50S,4264,5030.0,Oct
15,"Abhijit Chavda - Israel, Taliban, Sri Lanka & The Global Superpowers | The Ranveer Show 245",2022-10-14,605246,24533,PT1H28M1S,1623,5281.0,Oct
16,Battlefield Stories - From Jungles To Mountains With Maj. Abhay Sapru | The Ranveer Show 244,2022-10-11,272862,12033,PT1H17M14S,1021,4634.0,Oct
17,India Under Modi - Abhijit Chavda Special | The Ranveer Show 243,2022-10-07,718917,37364,PT1H1M1S,4411,3661.0,Oct
18,"Ravana, The King of Asura's Secrets | Navaratri Spl ft. Anand Neelakantan | The Ranveer Show 242",2022-10-04,447031,21988,PT36M51S,2175,2211.0,Oct
19,The Mysterious Hindu Goddess - Navaratri Special ft. Dr. Vineet | The Ranveer Show 241,2022-09-30,688068,25964,PT1H24M24S,1702,5064.0,Sep
20,Kris Gethin - Bollywood's Best Fitness Coach Shares Workout & Diet Secrets | TheRanveerShow 240,2022-09-27,415308,13902,PT1H58M7S,702,7087.0,Sep
21,SCARIEST Demonic Experiences & Personal Satanic Stories ft. Ambika Devi | The Ranveer Show 239,2022-09-23,1263944,55046,PT1H50S,3187,3650.0,Sep
22,Archaeologist Reveals Ancient Indian Secrets - Vimanas & The Nagas | Dr. Ajay | The Ranveer Show 238,2022-09-20,305911,11721,PT38M15S,966,2295.0,Sep
23,180 Countries & Counting! - Wild Travel Stories With Christian Betzmann | The Ranveer Show 237,2022-09-16,259095,12227,PT1H15M52S,699,4552.0,Sep
24,"Master Yogi Sri M On Scary Encounter With A REAL Yeti, The Kundalini & The Nagas | TheRanveerShow236",2022-09-13,2194266,72502,PT1H32M50S,7821,5570.0,Sep
25,"Sourav Ganguly - Leadership, Life Lessons, Cricket Stories & The World Cup | The Ranveer Show 235",2022-09-09,940878,45748,PT42M4S,2915,2524.0,Sep
26,"Shiva, Krishna, Ganesha & The Big Bang - Hinduism Expert Om Dhumatkar | The Ranveer Show 234",2022-09-06,790529,26929,PT1H4S,1880,3604.0,Sep
27,"MARCOS Vijaypal Rawat - Mumbai Attack, Sea Encounters, Underwater Bombs | The Ranveer Show 233",2022-09-02,752121,32242,PT1H6M17S,1575,3977.0,Sep
28,"BK Sister Shivani - Astrology, Destiny, Karma & Angels | The Ranveer Show 232",2022-08-30,1285678,54938,PT1H21M13S,3961,4873.0,Aug
29,"North East, Kashmir Conflict, Survival Stories & Encounters ft. Col. Rajeev The Ranveer Show 231",2022-08-26,1215497,58764,PT1H15M44S,3701,4544.0,Aug
30,"Ghosts, Demons & Hauntings - Paranormal Expert Neil D'Silva | The Ranveer Show 230",2022-08-23,2203770,108013,PT37M54S,6522,2274.0,Aug
31,Archaeologist Reveals SHOCKING Truths Hidden From You - Dr. Ajay Prabhakar | The Ranveer Show 229,2022-08-19,387143,14327,PT1H28M32S,1431,5312.0,Aug
32,"@Luke Coutinho - Magic Mushrooms, Great S*x & Family Love | The Ranveer Show 228",2022-08-16,267831,11340,PT1H25M27S,2000,5127.0,Aug
33,"'Nothing' Founder Carl Pei On Apple, Steve Jobs & Leaving 'One Plus' | The Ranveer Show 227",2022-08-12,874806,40262,PT45M38S,1807,2738.0,Aug
34,Ma Anand Sheela - From Bhagwan Rajneesh To Osho's Wild Wild Country | The Ranveer Show 226,2022-08-09,336151,10950,PT52M17S,1553,3137.0,Aug
35,"Janhvi Kapoor Opens Up - Love Life, Deepest Insecurities, Film Games & The Occult, TheRanveerShow225",2022-08-05,1150023,38495,PT55M37S,2962,3337.0,Aug
36,Who Is The REAL Kalki Avatar? Full Explanation By Hinduism Expert Dr. Vineet | The Ranveer Show 224,2022-08-02,1023313,38125,PT1H31M21S,2298,5481.0,Aug
37,"Indian Commando Shares His Scariest Experiences - Guns, Crocodiles & Terror | The Ranveer Show 223",2022-07-29,486888,21511,PT56M26S,1325,3386.0,Jul
38,"4 Vedas - Tantra, Healing, Black Magic & Mantras | Dr. Radhakrishnan Pillai | The Ranveer Show 222",2022-07-26,870359,41255,PT47M35S,2343,2855.0,Jul
39,"Vaani Kapoor Opens Up On Her Relationship With Co-Stars, Bollywood & Happiness, The Ranveer Show 221",2022-07-22,296238,9086,PT35M20S,601,2120.0,Jul
40,FREE Fat Burning Diet Plan For Men & Women - @Luke CoutinhoHealth Coaching | The Ranveer Show 220,2022-07-19,712719,24331,PT1H18M31S,984,4711.0,Jul
41,"India’s Best Fitness Coach Basu Shanker On Training Kohli, Karthik, Ashwin... | The Ranveer Show 219",2022-07-15,702383,20166,PT51M9S,759,3069.0,Jul
42,Abhijit Chavda: America’s Dark Truth HIDDEN From The World Population | The Ranveer Show 218,2022-07-12,848122,33708,PT1H22M18S,4000,4938.0,Jul
43,SCARY Future Of Bio-Tech - Black Mirror Is COMING ⚠️💀 | @Sid Warrier | The Ranveer Show 217,2022-07-08,195568,7583,PT1H8M58S,445,4138.0,Jul
44,Cold War Conspiracy Theories - Abhijit Chavda Explains USA Vs. Russia 1950-1990 | TheRanveerShow 216,2022-07-05,360984,14673,PT53M40S,1312,3220.0,Jul
45,"Conversation With An Astronaut - Space, Aliens & The Future | Sirisha Bandla | The Ranveer Show 215",2022-07-01,249923,10926,PT53M49S,736,3229.0,Jul
46,"World War 2 - Abhijit Chavda On Hitler, Conspiracies & Untold Outcomes | The Ranveer Show 214",2022-06-28,1370397,39359,PT1H30M41S,3216,5441.0,Jun
47,"Sonali Bendre Opens Up On Life's 2nd Chance, 4th Stage Cancer & Bollywood | The Ranveer Show 213",2022-06-24,392866,11093,PT59M53S,679,3593.0,Jun
48,Left Sweden To Build A Multi-Million Dollar Career In India ft. Cecilia Oldne | The Ranveer Show 212,2022-06-21,291659,10060,PT48M23S,565,2903.0,Jun
49,Love & S*x According To Biology - Neurologist Sid Warrier Explains | The Ranveer Show 211,2022-06-17,377470,14580,PT1H4M13S,496,3853.0,Jun
50,Nirvana & Neuroscience - Spiritual Master Dadashreeji Opens Up | The Ranveer Show 210,2022-06-14,271632,10755,PT33M5S,814,1985.0,Jun
51,Indian Army's SUPERWOMAN - Dr. Seema Rao - Commando Trainer | The Ranveer Show 209,2022-06-11,94854,4511,PT34M14S,237,2054.0,Jun
52,Jose Covaco Talks About Being Hoezaay | KaanMasti On #TheRanveerShow 208,2022-06-07,136043,6267,PT34M52S,635,2092.0,Jun
53,"Dropout At 13, Millionaire At 20 - Inspiring Vishnu Prasath Story | The Ranveer Show 207",2022-06-03,150008,7258,PT46M5S,404,2765.0,Jun
54,"Ananya Panday Opens Up On Books, Anxiety, Ambition & Life | The Ranveer Show 206",2022-05-31,504749,15936,PT52M55S,2133,3175.0,May
55,The World is F*cked - Abhijit Chavda Geopolitics Update | The Ranveer Show 205,2022-05-27,1328680,49482,PT1H12M9S,4850,4329.0,May
56,"Saket Modi Explains Behind the Scenes of Blockchain, Web3, Crypto World | The Ranveer Show 204",2022-05-24,131035,6500,PT55M21S,600,3321.0,May
57,My 6 Tattoos And Why I Got Them | The Ranveer Show 203,2022-05-20,141404,7912,PT23M56S,385,1436.0,May
58,How To Become A Bollywood Star - Casting Director Panchami Ghavri | The Ranveer Show 202,2022-05-17,143542,4748,PT1H4M46S,577,3886.0,May
59,"Kiara Advani On Relationships, Long-Term Love & Psychology | The Ranveer Show 201",2022-05-13,1129637,46018,PT49M9S,1678,2949.0,May
