,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
0,"If You Feel LAZY, LOST & UNMOTIVATED, Watch This To CHANGE EVERYTHING In 2023 | Jim Kwik",2022-11-28,42009,1677,PT50M16S,105,3016.0,Nov
1,2 Misconceptions About Love & How to Turn Toxicity into Healthy Boundaries,2022-11-25,63952,2146,PT55M38S,129,3338.0,Nov
2,"If You Want To COMPLETELY CHANGE Yourself In 2023, WATCH THIS! | Joe Jonas  & Jay Shetty",2022-11-21,52971,1598,PT1H1M37S,112,3697.0,Nov
3,Learn The MOST IMPORTANT Skills To Be SUCCESSFUL In The 21st Century  | Ray Dalio & Jay Shetty,2022-11-14,39595,1158,PT1H33M15S,108,5595.0,Nov
4,How To STOP Insecurity & TRULY LOVE YOURSELF To The Core | Selena Gomez & Jay Shetty,2022-11-07,725460,28767,PT1H37M12S,1286,5832.0,Nov
5,FIND YOUR PURPOSE - How To Manifest SUCCESS & ABUNDANCE In 2023 | Lewis Howes & Jay Shetty,2022-11-04,124643,3698,PT1H22M43S,368,4963.0,Nov
6,YouTube CEO Reveals How To BUILD A BRAND & Achieve SUCCESS In 2023 | Susan Wojcicki & Jay Shetty,2022-10-31,27829,991,PT50M11S,89,3011.0,Oct
7,"If You FEEL LOST & UNHAPPY In Life, Watch This To FIND YOURSELF In 2023 | Jay Shetty",2022-10-28,73187,2049,PT1H13M35S,243,4415.0,Oct
8,The ROOT CAUSE Of Trauma & Why You FEEL LOST In Life | Dr. Gabor Maté & Jay Shetty,2022-10-24,246830,9555,PT1H19M1S,611,4741.0,Oct
9,John Legend's EYE OPENING Speech On How To Manifest ABUNDANCE & HAPPINESS | Jay Shetty,2022-10-17,72041,1809,PT1H8M49S,266,4129.0,Oct
10,"If You're Feeling Depressed, Sad, Or Anxious, WATCH THIS! | Lily Singh & Jay Shetty",2022-10-14,46861,1318,PT1H10M18S,119,4218.0,Oct
11,DO THIS Daily Habit To Manifest ABUNDANCE & SUCCESS! | Vishen Lakhiani & Jay Shetty,2022-10-10,287092,8904,PT54M23S,343,3263.0,Oct
12,"If You Want To MANIFEST Your Dreams In 2023, WATCH THIS! | Ed Mylett & Jay Shetty",2022-10-07,125496,4177,PT54M58S,159,3298.0,Oct
13,Feeling Insecure? This Video Will CHANGE Everything! | Alex Cooper & Jay Shetty,2022-10-03,309479,7882,PT1H46M18S,336,6378.0,Oct
14,DO THIS Everyday To Completely Heal Your BODY & MIND | Dr. Daniel Amen & Jay Shetty,2022-09-26,143147,5519,PT1H9M47S,283,4187.0,Sep
15,"If You Want To LOVE YOURSELF To The Core, WATCH THIS! | Byron Katie & Jay Shetty",2022-09-23,88544,2444,PT42M36S,121,2556.0,Sep
16,"FOCUS ON YOURSELF, NOT OTHERS - Stop Negative Thoughts & Build SELF LOVE | Noah Cyrus & Jay Shetty",2022-09-19,109959,3787,PT50M29S,183,3029.0,Sep
17,"Kendall Jenner Opens Up About Anxiety, Insecurity, & How To Be Truly Happy! | Jay Shetty",2022-09-12,1769837,56569,PT53M59S,2011,3239.0,Sep
18,"This Works Like Magic! - If You FEEL LOST In Life, Watch This To FIND YOURSELF! | Joe Dispenza",2022-09-09,155212,3189,PT2H21M42S,108,8502.0,Sep
19,"When You Feel SAD or LONELY In Life, WATCH THIS! (Heal Your Trauma) | Susan Cain & Jay Shetty",2022-09-05,34930,1064,PT1H2M26S,57,3746.0,Sep
20,Dennis Rodman's LIFE ADVICE On Overcoming Pain Will Leave You SPEECHLESS | Jay Shetty,2022-09-02,19814,464,PT1H42S,81,3642.0,Sep
21,"If You STRUGGLE With Low Self-Worth & Confidence, WATCH THIS! | Meghan Trainor & Jay Shetty",2022-08-29,81031,2934,PT1H2M48S,149,3768.0,Aug
22,How To UNLEASH Your Super Brain To NEVER BE LAZY Again! | Jim Kwik & Jay Shetty,2022-08-26,40819,1631,PT1H5M38S,66,3938.0,Aug
23,Dave Ramsey's SECRET TO WEALTH & RICHES Will Leave You SPEECHLESS! | Jay Shetty,2022-08-22,56651,1958,PT55M26S,225,3326.0,Aug
