,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
0,Dil Ki Baatein Zakir Khan Bhai Ke Saath | The Ranveer Show हिंदी 123,2022-12-03,430093,28465,PT1H13M45S,1443,4425.0,Dec
1,Scientific Explanation of Bhagwad Geeta - Moksh & Third Eye | Sid Warrier | TheRanveerShow हिंदी 122,2022-11-30,257412,11317,PT1H9M40S,963,4180.0,Nov
2,Hair Loss Kaise Kam Karein? - Saloni Anand Ka Hair Treatment Formula | The Ranveer Show हिंदी 121,2022-11-26,467771,22118,PT43M45S,1563,2625.0,Nov
3,IPS Vishwas Nangre Patil - 26/11 Ke Raat ki Puri Kahani | Mumbai Police | The Ranveer Show हिंदी 120,2022-11-23,1237882,60273,PT1H13M36S,3253,4416.0,Nov
4,"MARCOS Vijaypal Rawat - WW3, Sharks & The Lakshwadeep - Indian Navy Spl | The Ranveer Show हिंदी 119",2022-11-19,228725,11047,PT1H19M29S,751,4769.0,Nov
5,"Kalyug, Shiva & Nirvana - Acharya Prashant | The Ranveer Show हिंदी 118",2022-11-16,853929,49940,PT1H16M50S,7516,4610.0,Nov
6,9 BIGGEST Spiritual Lessons Of My Life | Ranveer Allahbadia,2022-11-12,297601,21225,PT19M16S,1416,1156.0,Nov
7,"ASLI ARMY LEADER - LTG KJS. Dhillon On War, Kashmir & Geopolitics | The Ranveer Show हिंदी 117",2022-11-09,1193549,42693,PT57M46S,2773,3466.0,Nov
8,REAL India Pakistan PYAAR - Vlog 84,2022-11-05,984008,56532,PT10M14S,3106,614.0,Nov
9,"Commandos Ki ZORDAAR ZINDAGI - Animals, Danger & Death | Col. T. Joshi | The Ranveer Show हिंदी 116",2022-11-02,370054,17817,PT53M50S,1209,3230.0,Nov
10,"Increase POWER Now - Testosterone, Erections & Sexual Health Tips | Ranveer Allahbadia",2022-10-30,790646,39977,PT19M32S,1908,1172.0,Oct
11,"Ram-Sita Ki Kahaani, Hanuman & Raavan Ki Undekhi Lanka - Vikrant Pande | The Ranveer Show हिंदी 115",2022-10-26,1517652,58422,PT45M11S,3259,2711.0,Oct
12,USKA DIL JEETO - 10 Fashion Tricks All Girls Love | Ranveer Allahbadia,2022-10-22,264470,20487,PT15M51S,1589,951.0,Oct
13,"Hinduism Ke Secrets, Ancient Mysteries Aur Ramayan - Akshat Gupta | The Ranveer Show हिंदी 114",2022-10-19,3011909,126069,PT45M18S,5592,2718.0,Oct
14,How To Improve Looks Instantly - Fashion Bhaiyya Returns | Ranveer Allahbadia,2022-10-15,412875,30175,PT15M31S,917,931.0,Oct
15,"@Tech Burner - YouTube Journey, Money, Relationship & Future Tech, The Ranveer Show हिंदी 113",2022-10-12,744920,37884,PT1H34M42S,1665,5682.0,Oct
16,"SUITS For Beginners - Style Guide, Budgeting Tips & Fashion Input | Ranveer Allahbadia",2022-10-08,357322,20773,PT18M30S,800,1110.0,Oct
17,🇮🇳’s SUPER SOLDIER - CV Singh - Para SF + Nation Security Guard | The Ranveer Show हिंदी 112,2022-10-05,786407,33670,PT56M16S,1356,3376.0,Oct
18,9 Things That Make Girls Hate You - Fashion Bhaiyya Returns | Ranveer Allahbadia,2022-10-03,424888,29597,PT13M2S,1888,782.0,Oct
19,"Dhandha, Parivaar Aur Zindagi - @SONU SHARMA Motivation | The Ranveer Show हिंदी 111",2022-09-28,631949,35880,PT59M53S,1949,3593.0,Sep
20,Time For Real Talk. | Ranveer Allahbadia in Hindi,2022-09-24,1703925,130613,PT12M5S,4281,725.0,Sep
21,"Tamannaah Bhatia - Pyaar, Bollywood Aur Khushiyaan | The Ranveer Show हिंदी 110",2022-09-21,555047,23667,PT54M28S,1071,3268.0,Sep
22,India's BIGGEST YouTubers - Success Secrets Revealed | Vlog 83,2022-09-17,433828,24836,PT15M25S,759,925.0,Sep
23,Astras (God’s Weapons) Explained By Hinduism Researcher Akshat Gupta | The Ranveer Show हिंदी 109,2022-09-14,1456715,70115,PT36M27S,3479,2187.0,Sep
24,TOP 10 Fashion Tips (Updated) - Fashion Bhaiyya Returns | Ranveer Allahbadia,2022-09-10,504119,32846,PT14M52S,1368,892.0,Sep
25,"Ami Ganatra - Krishna, Ram Aur Sita Ki Ankahee Kahaniyaan | The Ranveer Show हिंदी 108",2022-09-07,1678318,70960,PT55M48S,4466,3348.0,Sep
