,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
0,"The ROOT CAUSE Of Weight Gain, Diabetes & Dementia! (HOW TO PREVENT IT) | Dr. David Perlmutter",2022-12-01,28137,759,PT1H42M46S,214,6166.0,Dec
1,RECESSION: A Once In A Lifetime Opportunity To BUILD WEALTH Is Here! | Robert Breedlove,2022-11-29,182691,5081,PT2H1M18S,1488,7278.0,Nov
2,NEVER DO THIS AGAIN! - This Is Holding 99% Of People BACK From Success! | Tom Bilyeu,2022-11-26,41214,1383,PT1H45M40S,278,6340.0,Nov
3,How To Create A MORNING ROUTINE To Achieve Your MOST AMBITIOUS GOALS In 2023 | Tom Bilyeu,2022-11-24,42727,1165,PT2H35M33S,164,9333.0,Nov
4,The COLLAPSE Of Crypto & FTX! - DO THIS NOW Before It's TOO LATE... | Raoul Pal,2022-11-22,202584,5753,PT1H45M45S,2044,6345.0,Nov
5,How To Become A MILLIONAIRE In 2023: BUILD WEALTH Starting With $0 | Jaspreet Singh,2022-11-17,113291,2237,PT2H35M45S,354,9345.0,Nov
6,The 3 DAILY HABITS That Destroy Your Health & DECREASE Lifespan! | Bob Hariri,2022-11-15,50239,1126,PT1H48M38S,286,6518.0,Nov
7,How To Become 50.2 Times BETTER At Anything! - Try It & See INCREDIBLE RESULTS | Tom Bilyeu,2022-11-12,119380,3876,PT1H33M37S,402,5617.0,Nov
8,"""PREPARE NOW!"" - This Is Your LAST CHANCE To Become A MILLIONAIRE In 2023 | Michael Saylor",2022-11-10,99849,2589,PT2H56M32S,684,10592.0,Nov
9,Why Your Life Is SO BORING... (How To Be MISERABLE For The Rest Of Your Life) | Robert Greene,2022-11-08,124431,3307,PT1H34M7S,634,5647.0,Nov
10,The 3 MONEY HABITS That Keep You BROKE! (RICH VS POOR MINDSET) | Wallstreet Trapper,2022-11-03,68585,2281,PT1H37M25S,389,5845.0,Nov
11,The 5 Foods You Will NEVER EAT Again After WATCHING THIS! | Dave Asprey,2022-11-01,648552,18535,PT1H25M7S,3565,5107.0,Nov
12,I Read 650+ Self-Improvement Books To LEARN THESE 7 Lessons | Tom Bilyeu,2022-10-29,100812,3383,PT1H35M49S,535,5749.0,Oct
13,The 6 Steps To BOOST BRAIN HEALTH & Reverse Cognitive DECLINE | Dr. Daniel Amen,2022-10-27,99408,2389,PT2H16M13S,321,8173.0,Oct
14,I Will TEACH YOU The 3 Skills You Need To NEVER BE LAZY Again! | Anthony Trucks,2022-10-25,80476,2377,PT1H9M13S,386,4153.0,Oct
15,The BIG SIGNS You're Not Healthy In Life & HOW TO FIX IT! | Shawn Stevenson,2022-10-20,99541,2405,PT1H37M18S,279,5838.0,Oct
16,The 3 Habits Billionaires RUN DAILY! (Do This EVERY MORNING For 10 Minutes) | Mel Robbins,2022-10-18,77662,2295,PT1H41M55S,349,6115.0,Oct
17,The BIGGEST LIES About Money That Keep You BROKE! | Tom Bilyeu,2022-10-15,89724,2789,PT2H30M26S,556,9026.0,Oct
18,The 3 SUPERFOODS You Need To Eat To Lose Weight & PREVENT DISEASE! | Dr. Jeffrey Bland,2022-10-13,477422,10174,PT1H30M18S,1619,5418.0,Oct
19,The #1 Habit All Successful People RUN DAILY! (You Need To DO THIS Everyday) | Vishen Lakhiani,2022-10-11,123115,3487,PT1H32M3S,574,5523.0,Oct
