,Title,Published_date,Views,Likes,Comments,Month
0,Praveen Mohan - Indian History Retold & Rethought | The Ranveer Show 259,2022-12-02,201693,14057,2695,Dec
1,"Siachen, Africa & Combat Stories - Maj. Samar Toor On The Indian Infantry | The Ranveer Show 258",2022-11-29,176018,7809,675,Nov
2,Tantra & The Occult - Powerful TRUTHS Explained By A Tantric - Rajarshi Nandy | The Ranveer Show 257,2022-11-25,718882,24471,2660,Nov
3,Priyanka Chopra Returns For Another Blockbuster Chat | The Ranveer Show 256,2022-11-22,826097,34145,1670,Nov
4,"Yoga For Better Skin, Hair & Life Explained By An Expert - Ami Ganatra | The Ranveer Show 255",2022-11-18,182263,6916,598,Nov
5,"Abhijit Chavda - Hidden History, Dinosaurs & Apocalyptic Events | The Ranveer Show 254",2022-11-15,279880,11698,868,Nov
6,"Indian Archaeologist Shares Secrets & CRAZY Stories Of Human History | Anica Mann, TheRanveerShow253",2022-11-11,994605,33878,3433,Nov
7,Mysteries Of The Universe - Broken Down By Science | Abhijit Chavda | The Ranveer Show 252,2022-11-08,367139,15711,1393,Nov
8,My Best Video Yet.,2022-11-04,341979,22720,1459,Nov
9,Maratha Empire's Beginnings - Shivaji Maharaj & Aurangzeb - Medha Bhaskaran | The Ranveer Show 251,2022-11-01,324408,14721,1976,Nov
10,Martial Arts For The Mind - Mentality for Success with Cawas Billimoria | The Ranveer Show 250,2022-10-31,82803,3347,218,Oct
11,FREE OF COST Weight Loss Guide | Kris Gethin | The Ranveer Show 249,2022-10-28,367976,11323,582,Oct
12,Rise Of India's Greatest Emperor - Chattrapati Shivaji Maharaj - Medha B. | The Ranveer Show 248,2022-10-25,480376,19705,2351,Oct
13,Amish Tripathi - Secrets Of Hinduism That Only Few Know | Diwali Special | The Ranveer Show 247,2022-10-21,298298,11273,637,Oct
14,Aurangzeb & Times Before Shivaji Maharaj | Indian History | Medha Bhaskaran | The Ranveer Show 246,2022-10-18,795344,32249,4307,Oct
15,"Abhijit Chavda - Israel, Taliban, Sri Lanka & The Global Superpowers | The Ranveer Show 245",2022-10-14,603687,24499,1630,Oct
16,Battlefield Stories - From Jungles To Mountains With Maj. Abhay Sapru | The Ranveer Show 244,2022-10-11,271528,11992,1020,Oct
17,India Under Modi - Abhijit Chavda Special | The Ranveer Show 243,2022-10-07,715325,37265,4426,Oct
18,"Ravana, The King of Asura's Secrets | Navaratri Spl ft. Anand Neelakantan | The Ranveer Show 242",2022-10-04,444530,21902,2180,Oct
19,The Mysterious Hindu Goddess - Navaratri Special ft. Dr. Vineet | The Ranveer Show 241,2022-09-30,683784,25877,1699,Sep
20,Kris Gethin - Bollywood's Best Fitness Coach Shares Workout & Diet Secrets | TheRanveerShow 240,2022-09-27,412043,13838,702,Sep
21,SCARIEST Demonic Experiences & Personal Satanic Stories ft. Ambika Devi | The Ranveer Show 239,2022-09-23,1257566,54870,3179,Sep
22,Archaeologist Reveals Ancient Indian Secrets - Vimanas & The Nagas | Dr. Ajay | The Ranveer Show 238,2022-09-20,305269,11697,964,Sep
23,180 Countries & Counting! - Wild Travel Stories With Christian Betzmann | The Ranveer Show 237,2022-09-16,258250,12188,699,Sep
24,"Master Yogi Sri M On Scary Encounter With A REAL Yeti, The Kundalini & The Nagas | TheRanveerShow236",2022-09-13,2183666,72262,7811,Sep
25,"Sourav Ganguly - Leadership, Life Lessons, Cricket Stories & The World Cup | The Ranveer Show 235",2022-09-09,938118,45694,2916,Sep
26,"Shiva, Krishna, Ganesha & The Big Bang - Hinduism Expert Om Dhumatkar | The Ranveer Show 234",2022-09-06,788378,26866,1874,Sep
27,"MARCOS Vijaypal Rawat - Mumbai Attack, Sea Encounters, Underwater Bombs | The Ranveer Show 233",2022-09-02,750182,32167,1574,Sep
28,"BK Sister Shivani - Astrology, Destiny, Karma & Angels | The Ranveer Show 232",2022-08-30,1274176,54652,3936,Aug
29,"North East, Kashmir Conflict, Survival Stories & Encounters ft. Col. Rajeev The Ranveer Show 231",2022-08-26,1211931,58643,3693,Aug
30,"Ghosts, Demons & Hauntings - Paranormal Expert Neil D'Silva | The Ranveer Show 230",2022-08-23,2190301,107541,6515,Aug
31,Archaeologist Reveals SHOCKING Truths Hidden From You - Dr. Ajay Prabhakar | The Ranveer Show 229,2022-08-19,386716,14307,1431,Aug
32,"@Luke Coutinho - Magic Mushrooms, Great S*x & Family Love | The Ranveer Show 228",2022-08-16,267347,11323,1998,Aug
33,"'Nothing' Founder Carl Pei On Apple, Steve Jobs & Leaving 'One Plus' | The Ranveer Show 227",2022-08-12,873267,40209,1806,Aug
34,Ma Anand Sheela - From Bhagwan Rajneesh To Osho's Wild Wild Country | The Ranveer Show 226,2022-08-09,335557,10930,1553,Aug
35,"Janhvi Kapoor Opens Up - Love Life, Deepest Insecurities, Film Games & The Occult, TheRanveerShow225",2022-08-05,1146492,38413,2960,Aug
36,Who Is The REAL Kalki Avatar? Full Explanation By Hinduism Expert Dr. Vineet | The Ranveer Show 224,2022-08-02,1017514,38010,2295,Aug
37,"Indian Commando Shares His Scariest Experiences - Guns, Crocodiles & Terror | The Ranveer Show 223",2022-07-29,486084,21494,1324,Jul
38,"4 Vedas - Tantra, Healing, Black Magic & Mantras | Dr. Radhakrishnan Pillai | The Ranveer Show 222",2022-07-26,867654,41189,2346,Jul
39,"Vaani Kapoor Opens Up On Her Relationship With Co-Stars, Bollywood & Happiness, The Ranveer Show 221",2022-07-22,295748,9075,601,Jul
40,FREE Fat Burning Diet Plan For Men & Women - @Luke CoutinhoHealth Coaching | The Ranveer Show 220,2022-07-19,707025,24233,983,Jul
41,"India’s Best Fitness Coach Basu Shanker On Training Kohli, Karthik, Ashwin... | The Ranveer Show 219",2022-07-15,701222,20146,759,Jul
42,Abhijit Chavda: America’s Dark Truth HIDDEN From The World Population | The Ranveer Show 218,2022-07-12,845330,33644,3992,Jul
43,SCARY Future Of Bio-Tech - Black Mirror Is COMING ⚠️💀 | @Sid Warrier | The Ranveer Show 217,2022-07-08,195275,7575,445,Jul
44,Cold War Conspiracy Theories - Abhijit Chavda Explains USA Vs. Russia 1950-1990 | TheRanveerShow 216,2022-07-05,360372,14665,1312,Jul
45,"Conversation With An Astronaut - Space, Aliens & The Future | Sirisha Bandla | The Ranveer Show 215",2022-07-01,249713,10916,736,Jul
